column	ligand	receptor	value	count	source	target	tissue	region
B cell|CD1c-positive myeloid dendritic cell	VEGFB	NRP1	0.536	18	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD1c-positive myeloid dendritic cell	HFE	TFRC	0.671	18	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD1c-positive myeloid dendritic cell	TNFSF12	TNFRSF12A	0.081	18	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD1c-positive myeloid dendritic cell	CD52	SIGLEC10	1.683	18	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD1c-positive myeloid dendritic cell	MPZL1	MPZL1	0.254	18	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD1c-positive myeloid dendritic cell	RNASET2	TLR8	1.243	18	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|T cell	CADM3	NECTIN3	0.04	10	B cell	T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|T cell	CCL21	CCR7	0.21	10	B cell	T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|T cell	EFNA3	EPHA1	0.157	10	B cell	T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|T cell	EFNA4	EPHA1	0.152	10	B cell	T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|T cell	EFNA3	EPHA4	0.039	10	B cell	T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|T cell	EFNA4	EPHA4	0.034	10	B cell	T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|T cell	TENM4	ADGRL1	0.032	10	B cell	T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|T cell	PODXL	SELL	0.214	10	B cell	T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|T cell	CD24	SELP	0.536	10	B cell	T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|T cell	FTH1	SCARA5	0.153	10	B cell	T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|classical monocyte	CEACAM1	CD209	0.189	15	B cell	classical monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|classical monocyte	APP	FPR2	0.81	15	B cell	classical monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|classical monocyte	APP	TNFRSF21	0.077	15	B cell	classical monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|classical monocyte	BDNF	SORT1	0.177	15	B cell	classical monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|classical monocyte	C5	C5AR2	1.537	15	B cell	classical monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|classical monocyte	C5	C5AR1	2.62	15	B cell	classical monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|classical monocyte	TENM4	ADGRL2	0.925	15	B cell	classical monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|classical monocyte	LGALS9	HAVCR2	0.512	15	B cell	classical monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|classical monocyte	HLA-G	LILRB1	0.024	15	B cell	classical monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|classical monocyte	HLA-G	LILRB2	1.859	15	B cell	classical monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|classical monocyte	LTB	LTBR	1.894	15	B cell	classical monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|classical monocyte	VEGFB	NRP1	0.635	15	B cell	classical monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|classical monocyte	HFE	TFRC	0.715	15	B cell	classical monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|classical monocyte	CD52	SIGLEC10	0.809	15	B cell	classical monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|classical monocyte	RNASET2	TLR8	2.048	15	B cell	classical monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|effector CD4-positive, alpha-beta T cell	CADM3	NECTIN3	0.055	9	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|effector CD4-positive, alpha-beta T cell	COL4A3	ADGRG6	0.313	9	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|effector CD4-positive, alpha-beta T cell	CCL21	CCR7	0.285	9	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|effector CD4-positive, alpha-beta T cell	EFNA3	EPHA1	0.153	9	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|effector CD4-positive, alpha-beta T cell	EFNA4	EPHA1	0.147	9	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|effector CD4-positive, alpha-beta T cell	EFNA3	EPHA4	0.099	9	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|effector CD4-positive, alpha-beta T cell	EFNA4	EPHA4	0.094	9	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|effector CD4-positive, alpha-beta T cell	TENM4	ADGRL1	0.084	9	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|effector CD4-positive, alpha-beta T cell	PODXL	SELL	0.272	9	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|effector CD8-positive, alpha-beta T cell	CADM3	NECTIN3	0.054	6	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|effector CD8-positive, alpha-beta T cell	BDNF	NGFR	0.021	6	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|effector CD8-positive, alpha-beta T cell	CD80	NGFR	0.06	6	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|effector CD8-positive, alpha-beta T cell	TENM4	ADGRL1	0.048	6	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|effector CD8-positive, alpha-beta T cell	HFE	TFRC	0.028	6	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|effector CD8-positive, alpha-beta T cell	TNFSF12	TNFRSF12A	0.036	6	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	CADM3	NECTIN3	0.124	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	CADM3	EPB41L1	0.264	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	CEACAM1	SELE	0.511	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	COL4A3	ADGRG6	2.662	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	LRRTM2	NRXN3	2.095	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	NLGN4X	NRXN3	2.124	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	JAM2	JAM3	0.096	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	JAM3	JAM3	0.19	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	APP	CD74	0.087	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	APP	PLXNA4	0.19	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	APP	TNFRSF21	0.047	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	ANGPT2	TEK	5.926	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	APLN	APLNR	0.097	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	BDNF	SORT1	0.444	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	CCL21	ACKR4	2.012	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	EDN1	EDNRB	1.007	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	EFNA3	EPHA2	2.341	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	EFNA4	EPHA2	2.335	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	EFNA3	EPHA4	1.089	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	EFNA4	EPHA4	1.084	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	FGF20	FGFR3	0.016	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	TENM4	ADGRL1	0.682	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	TENM4	ADGRL2	1.785	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	LTB	LTBR	2.085	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	VEGFB	FLT1	3.42	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	VEGFB	NRP1	2.638	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	CD24	SELP	3.504	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	PPY	NPY1R	0.638	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	TNFSF12	TNFRSF12A	0.066	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	WNT16	SFRP1	2.758	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|endothelial cell	MPZL1	MPZL1	0.436	31	B cell	endothelial cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|erythrocyte	TENM4	ADGRL1	0.13	2	B cell	erythrocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|erythrocyte	HFE	TFRC	0.685	2	B cell	erythrocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|hematopoietic stem cell	APP	CD74	0.458	7	B cell	hematopoietic stem cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|hematopoietic stem cell	LRRTM2	NRXN2	22.797	7	B cell	hematopoietic stem cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|hematopoietic stem cell	NLGN4X	NRXN2	22.826	7	B cell	hematopoietic stem cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|hematopoietic stem cell	C5	C5AR2	4.216	7	B cell	hematopoietic stem cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|hematopoietic stem cell	HLA-G	LILRB1	2.056	7	B cell	hematopoietic stem cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|hematopoietic stem cell	LTB	LTBR	0.419	7	B cell	hematopoietic stem cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|hematopoietic stem cell	MPZL1	MPZL1	1.337	7	B cell	hematopoietic stem cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|innate lymphoid cell	CADM3	NECTIN3	0.133	9	B cell	innate lymphoid cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|innate lymphoid cell	JAM2	JAM3	0.052	9	B cell	innate lymphoid cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|innate lymphoid cell	JAM3	JAM3	0.146	9	B cell	innate lymphoid cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|innate lymphoid cell	APP	TNFRSF21	0.037	9	B cell	innate lymphoid cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|innate lymphoid cell	BDNF	NGFR	0.043	9	B cell	innate lymphoid cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|innate lymphoid cell	CD80	NGFR	0.082	9	B cell	innate lymphoid cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|innate lymphoid cell	BDNF	SORT1	0.21	9	B cell	innate lymphoid cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|innate lymphoid cell	TENM4	ADGRL1	0.135	9	B cell	innate lymphoid cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|innate lymphoid cell	PODXL	SELL	0.072	9	B cell	innate lymphoid cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|intermediate monocyte	CEACAM1	CD209	0.032	19	B cell	intermediate monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|intermediate monocyte	COL4A3	ADGRG6	0.38	19	B cell	intermediate monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|intermediate monocyte	APP	CD74	0.107	19	B cell	intermediate monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|intermediate monocyte	APP	FPR2	0.86	19	B cell	intermediate monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|intermediate monocyte	APP	TNFRSF21	0.044	19	B cell	intermediate monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|intermediate monocyte	BDNF	SORT1	1.78	19	B cell	intermediate monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|intermediate monocyte	C5	C5AR2	1.213	19	B cell	intermediate monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|intermediate monocyte	C5	C5AR1	3.844	19	B cell	intermediate monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|intermediate monocyte	EDN1	EDNRB	0.059	19	B cell	intermediate monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|intermediate monocyte	TENM4	ADGRL2	0.106	19	B cell	intermediate monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|intermediate monocyte	LGALS9	HAVCR2	1.964	19	B cell	intermediate monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|intermediate monocyte	HLA-G	LILRB1	1.247	19	B cell	intermediate monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|intermediate monocyte	HLA-G	LILRB2	3.703	19	B cell	intermediate monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|intermediate monocyte	LTB	LTBR	2.075	19	B cell	intermediate monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|intermediate monocyte	VEGFB	FLT1	2.115	19	B cell	intermediate monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|intermediate monocyte	VEGFB	NRP1	0.164	19	B cell	intermediate monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|intermediate monocyte	TNFSF12	TNFRSF12A	0.262	19	B cell	intermediate monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|intermediate monocyte	CD52	SIGLEC10	1.675	19	B cell	intermediate monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|intermediate monocyte	RNASET2	TLR8	1.301	19	B cell	intermediate monocyte	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	CADM3	EPB41L1	0.94	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	CEACAM1	CD209	1.246	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	COL4A3	ADGRG6	0.693	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	APP	CD74	0.273	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	APP	FPR2	0.151	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	APP	TNFRSF21	0.293	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	BDNF	SORT1	1.484	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	C5	C5AR2	1.073	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	C5	C5AR1	1.675	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	EDN1	EDNRB	0.195	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	EFNA3	EPHA2	0.09	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	EFNA4	EPHA2	0.085	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	LGALS9	HAVCR2	1.214	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	HLA-G	LILRB1	0.621	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	HLA-G	LILRB2	1.191	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	LTB	LTBR	1.665	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	VEGFB	FLT1	0.138	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	VEGFB	NRP1	0.621	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	CD24	SELP	0.506	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	HFE	TFRC	0.701	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	TNFSF12	TNFRSF12A	0.753	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	WNT16	SFRP4	0.257	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	CD52	SIGLEC10	0.606	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	MPZL1	MPZL1	0.14	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|macrophage	RNASET2	TLR8	1.002	25	B cell	macrophage	lymph_node	HBM622.JXWQ.554_reg1
B cell|mast cell	CADM3	EPB41L1	4.697	5	B cell	mast cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mast cell	APP	TNFRSF21	6.155	5	B cell	mast cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mast cell	BDNF	SORT1	3.426	5	B cell	mast cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mast cell	FCER2	FGFR2	22.548	5	B cell	mast cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mast cell	HFE	TFRC	1.293	5	B cell	mast cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature NK T cell	APP	TNFRSF21	0.021	11	B cell	mature NK T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature NK T cell	BDNF	SORT1	0.053	11	B cell	mature NK T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature NK T cell	EFNA3	EPHA3	0.301	11	B cell	mature NK T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature NK T cell	EFNA4	EPHA3	0.296	11	B cell	mature NK T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature NK T cell	EFNA3	EPHA4	0.172	11	B cell	mature NK T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature NK T cell	EFNA4	EPHA4	0.167	11	B cell	mature NK T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature NK T cell	TENM4	ADGRL1	0.043	11	B cell	mature NK T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature NK T cell	LGALS9	HAVCR2	0.157	11	B cell	mature NK T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature NK T cell	LTB	LTBR	0.925	11	B cell	mature NK T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature NK T cell	PODXL	SELL	0.045	11	B cell	mature NK T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature NK T cell	MPZL1	MPZL1	0.05	11	B cell	mature NK T cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature conventional dendritic cell	COL4A3	ADGRG6	0.984	16	B cell	mature conventional dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature conventional dendritic cell	APP	CD74	0.627	16	B cell	mature conventional dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature conventional dendritic cell	BDNF	SORT1	0.239	16	B cell	mature conventional dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature conventional dendritic cell	LRRTM2	NRXN2	0.79	16	B cell	mature conventional dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature conventional dendritic cell	NLGN4X	NRXN2	0.818	16	B cell	mature conventional dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature conventional dendritic cell	CCL21	CCR7	1.147	16	B cell	mature conventional dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature conventional dendritic cell	EFNA3	EPHA2	4.988	16	B cell	mature conventional dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature conventional dendritic cell	EFNA4	EPHA2	4.983	16	B cell	mature conventional dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature conventional dendritic cell	TENM4	ADGRL1	0.189	16	B cell	mature conventional dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature conventional dendritic cell	LGALS9	HAVCR2	0.483	16	B cell	mature conventional dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature conventional dendritic cell	HLA-G	LILRB1	0.601	16	B cell	mature conventional dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature conventional dendritic cell	HLA-G	LILRB2	0.231	16	B cell	mature conventional dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature conventional dendritic cell	LTB	LTBR	1.138	16	B cell	mature conventional dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature conventional dendritic cell	HFE	TFRC	0.078	16	B cell	mature conventional dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature conventional dendritic cell	MPZL1	MPZL1	0.453	16	B cell	mature conventional dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|mature conventional dendritic cell	RNASET2	TLR8	0.739	16	B cell	mature conventional dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|neutrophil	APP	FPR2	7.011	10	B cell	neutrophil	lymph_node	HBM622.JXWQ.554_reg1
B cell|neutrophil	BDNF	SORT1	0.74	10	B cell	neutrophil	lymph_node	HBM622.JXWQ.554_reg1
B cell|neutrophil	C5	C5AR2	0.087	10	B cell	neutrophil	lymph_node	HBM622.JXWQ.554_reg1
B cell|neutrophil	C5	C5AR1	3.62	10	B cell	neutrophil	lymph_node	HBM622.JXWQ.554_reg1
B cell|neutrophil	HLA-G	LILRB1	0.023	10	B cell	neutrophil	lymph_node	HBM622.JXWQ.554_reg1
