	I	pval_norm	var_norm	pval_norm_fdr_bh
ENSG00000168497	0.07714582089201578	0.0	2.5973177828107188e-08	0.0
ENSG00000187513	0.07708403157082802	0.0	2.5973177828107188e-08	0.0
ENSG00000114942	0.07674989115005573	0.0	2.5973177828107188e-08	0.0
ENSG00000184557	0.07651745883781474	0.0	2.5973177828107188e-08	0.0
ENSG00000137962	0.07618141165702147	0.0	2.5973177828107188e-08	0.0
ENSG00000142798	0.07553282992020101	0.0	2.5973177828107188e-08	0.0
ENSG00000169442	0.07543793983676036	0.0	2.5973177828107188e-08	0.0
ENSG00000182718	0.07521353462329163	0.0	2.5973177828107188e-08	0.0
ENSG00000127920	0.07510168479616942	0.0	2.5973177828107188e-08	0.0
ENSG00000073712	0.07498952639847102	0.0	2.5973177828107188e-08	0.0
