Cluster	ICC	TA2	TA1	CyclingTA 1	Myofibroblasts/SM 1	Villus Fibroblasts WNT5B+	Goblet	Enteroendocrine	Epithelial	Immature Enterocytes	Enterocytes	Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM DES High	Mono_Macrophages	Immature Goblet	Myofibroblasts/SM 2	CD8	Glia	Endothelial-Venules	CyclingTA 2	Pericytes	Stem	B Cells	Crypt Fibroblasts 2	DC	Crypt Fibroblasts 1 WNT2B+	Paneth	Secretory Specialized MUC6+	Best4+ Enterocytes	Endothelial-CD36+ Microvascular	Neurons	CD4	Myofibroblasts/SM 3	Mast	Adipocytes	Plasma	NEUROG3high	EnteroendocrineUn	Lymphatic Endothelial Cells	Tuft	Unknown	ILC	Enterochromaffin	NK	T Cells	EnteroendocrineUn 1	CyclingImmune	I Cells	D Cells	L Cells	Mo Cells	S Cells	K Cells
Cluster_10	-0.4430127673150343	-1.4445946624034152	-1.0748060738113547	-0.6309318171565448	0.11583808907760133	-0.3609887679442264	-0.31014700307829335	-0.24026849604095818	-0.17313906471344237	0.8782829814025547	0.7694314316148074	-0.30437818864653815	-0.3160401673455508	-1.1032442248771919	-0.5561302794860719	-0.04227948094296639	-0.7954706772677532	-0.2545540811186256	-0.9683360214969602	-0.23313855472564082	-0.4500647993508321	-0.17609350190911358	-0.05964140790162133	-0.22527510210053545	-0.7862102152439612	-0.6076709496415921	-0.2536378453936693	-0.8682610403595964	-0.6258648078313549	-0.6995315532203754	-0.1783226898004754	0.02036813113811021	-0.17002737883536861	-0.1043917341275992	0.023800542849548485	0.019739940690465863	-0.12126932008438535	-0.3676706155210808	-1.1318868404558018	-0.038903081648257606	-0.2766068638199095	-0.4679534920813474	-0.08278364501849396	-0.1359864742273759	-0.017447337657046993	-0.03881853621432892	-0.5598242170414152	-0.162837763748998	0.3051561524148776	-0.22125857129547133	0.011924593066971701	-0.05313643041923564	-0.02564582384814579
Cluster_11	0.035448264686367435	-0.17910010784905284	0.912335589582437	-0.0077769760243589685	0.6883014669345644	-0.04038453267629626	0.1340161047108067	0.13042784998572768	-0.10407210128661928	-0.2142576104834727	-0.7822896043326412	0.08888825015478269	-0.19586487342777006	-0.9227611031464309	-0.6760206611997098	0.08053041597414966	-0.38440589931744373	0.1446617512473114	-0.40228174364870267	0.23248262259258107	0.15995161122794962	0.05957962589943789	-0.11087235122504485	0.16012227749907249	0.14648242641578685	-0.28385191301616225	0.13169350938297275	-0.3081143469822511	-0.06615667902867135	-0.1931569010807043	0.023303286846776912	0.09472431632982575	0.12437516320733397	0.1210602269205751	0.07888796213612455	-0.11522866237817157	-0.18518846781246495	0.026459618890106836	-0.7164040513932202	0.14528791465329502	0.14198660215143208	0.4073409616969063	-0.014655777755418714	0.014057805832404157	0.3847485999643812	0.07314668276549974	-0.17795515166663675	-0.13649580926170304	-0.3747816196479171	-0.02178346331363762	0.044836384776177574	-0.18359910150829978	-0.3605575097155542
Cluster_12	-0.19210335822482297	0.8197919235237721	-1.0738858535566635	-0.18332960281117483	-0.19314492444257347	-0.2714657769042248	-0.11368901846532405	-0.051669351341098714	-0.1669431680386	0.8078667028426407	-0.7624788866292386	-0.1241568665900963	-0.12896006699334964	-0.8143623445300983	-0.40389195956029594	-0.06696326122788543	-0.6314404564061045	-0.22601641755625346	-0.7855910297291037	-0.09790178192340367	-0.18265790551422606	-0.1590765296297305	-0.18768119328529712	-0.13906863319590393	-0.38276135578407994	-0.3055738151729755	0.0655138287016526	-0.662752735669637	-0.5990722895199551	-0.532985706815835	-0.19500563350105174	-0.05529205102056268	-0.17935439050602847	-0.11223788374746112	-0.27972232629616184	-0.19804673034806597	-0.4767450571255781	-0.1412860141336218	-0.7621378547977772	-0.35113915515161753	-0.6535038065991268	-0.3259104076696779	-0.26296306066040914	0.0811449016638221	0.14583833064613325	-0.15041539658185263	-0.2084274546177177	-0.43483382973957496	-0.1905406275825413	-0.19473601975663346	-0.09177134772409024	-0.15242098521802963	-0.40207913802886636
Cluster_13	-0.06738036972747709	-0.8138204567206245	0.36481628711655034	0.06831348422525961	0.1951111108774804	0.20989961044785105	0.04477756054158323	0.11266031541917389	-0.11232038260288842	-1.4566953649841297	1.265090159715133	0.03455177092246213	0.1005691725117863	-0.6723433749221356	-0.19745288570925984	0.07077928698815328	-0.3891500720967157	0.07080012071678268	-0.36525818529639503	-0.0065822901618358765	0.10478806594688952	0.13683570276744084	0.15045007238403638	0.1282578776383119	-0.16847099251240197	-0.11147507544457586	0.10146313918472896	-0.29925149950245566	0.226192265706577	-0.02049574886936663	-0.09231950489544673	0.027775448695856426	0.08830950891909539	0.055679752962792026	0.07618188392855701	0.0472019930169702	0.059668158899986716	0.25135337467068464	-0.8364073397621556	0.1797968870206021	0.1844482581980228	0.5410692930581691	0.002385892074851254	0.11380661050934779	-0.07173535191568514	-0.06227167473818255	0.21758508458732237	0.0024452218068105624	0.07905809702642366	-0.268366382436801	0.00014422499629756897	0.019370079193225465	-0.07326948658001467
Cluster_14	0.05417754256345845	1.6904265370032434	-0.6663400958914477	0.02088630113922639	-0.14834435938015533	-0.14909715071167262	0.02297195326277351	0.09630625860152349	-0.1124205773598132	-0.18162621486007352	-0.9592806912362069	0.018653433167116353	-0.06810323391854567	-0.6783744145158068	-0.2950829590230396	0.036434304063335685	-0.5718542215406717	-0.006072041542489997	-0.5015951565570711	0.1438823993081169	-0.0059091669739568045	-0.0930561202124086	-0.12475315110494213	0.05052813257682437	-0.4428667871219294	-0.18219327352692558	0.16536606789359734	-0.32944597699038525	-0.058273069762277294	-0.33811360987043276	-0.013417202296757785	-0.1472445425814945	-0.056777375906939063	0.03139097908679375	-0.4037597876674626	-0.14552231968235937	-0.01816903142303544	0.0830583161023943	-0.2451913569781093	0.10390493185283457	0.7891423378275589	-0.4913220076801379	-0.3689458562394657	-0.00812648809495266	-1.1648082639150341	0.03131940874678278	0.21876848508533556	-0.3505781869718807	-0.3731681848587564	0.27182068560729866	-0.26539439455767677	-0.4739423365208352	-0.8360268784474697
Cluster_15	-0.3463085192383038	-0.5548385893860998	-0.8137114327269435	-0.36683854417848955	-0.7280016949175592	-0.2676569419406115	-0.34179092463144656	-0.2977438581647869	-0.18920913143294943	0.03188130855648112	1.706218298173753	-0.4903980356459319	-0.41489452473823857	-1.1137273232023694	-0.5119580088606029	-0.2394507695494842	-0.7071138553942973	-0.36945189926885286	-0.9174592277899094	-0.23982291898715405	-0.2892475171454974	-0.21042179808583297	-0.02157870911212503	-0.21276731404622165	-0.8361321747455536	-0.4014716874157031	0.05147426347977726	-0.7847406859809894	-0.27838372084126756	-0.5641019448751585	-0.2550016248043339	-0.13266975606376782	-0.39010128340461764	-0.09202885132569247	-0.4907475037648013	-0.14908676043310742	0.059271794434674965	-0.5328500058864132	-1.3138363833934166	-0.47684881104408333	-2.030682821351522	0.05147426347977942	-0.1872775409474653	-0.09590568125209686	-1.0694826978874061	0.05504307088841108	0.07973833385566861	-0.27287474322333666	0.18532812962755596	0.22456187962030474	-0.45952856065387765	0.02798521661429436	0.033677718602109254
Cluster_16	0.15207749835577428	-0.17978900178662638	1.5008829766234488	0.1303025857354033	-0.5637016939468596	0.047542124352066804	0.02200873454706417	0.15476339217999904	-0.022350740807889867	-1.469928453520929	-0.43102056563512336	0.15917338879680742	0.05180296403794576	-0.23659704888432073	-0.10992875711939928	-0.03630441453171094	-0.21076238977748243	0.10974724332397695	0.17214271391510294	0.07582529310813516	0.16169287231439675	-0.007135178507485186	0.012365252658598775	0.1073518304209568	0.25631872523136867	-0.20261325162108615	0.19980917792596709	0.2436303112015444	0.11977295938344838	0.13812988610150773	-0.15788740532297524	0.09998462292307353	0.1697026562663003	0.1461570636879854	0.18932028341154303	-0.12324410153237876	-0.0616927348453737	0.08322919359766692	-0.22872274443219368	0.07997602282860328	0.8425589466990874	0.33202507674798526	-0.09453760164268009	0.02327808543464538	-0.057261497062724244	-0.027169322584568726	0.16101287497687886	0.10595802340931651	-0.3756729673574973	-0.3025305292060284	0.09046978373323619	-0.06935280704272499	-0.28046045785577045
Cluster_17	0.42838689288772674	0.16863423651341333	-0.431293461743167	0.46238593611540635	1.147013866066752	0.42000955807543805	0.4489213631817638	0.43869919871715873	0.07542206959103268	-1.6495171741477552	-0.6179754624047333	0.40860109937798034	0.2856716579349513	-0.4224983427358512	0.31196198142865245	0.2721843376466765	-0.19450336987005584	0.44470851169696873	0.08233391376278563	0.544018528668748	0.3976100007519045	0.32942973607095644	0.28221989685967225	0.3911559487882887	0.42048621767635636	0.06099250272673033	0.34258700456820346	-0.07785781479009696	0.46223302574562397	0.27020947689858404	0.3306090964932503	0.2958561828088031	0.31766964472489573	0.3797981508278536	0.3585672929989145	0.12540727743942484	0.22141782881681996	0.30905339450612834	-0.27070489256559066	0.432962129234809	0.4246498796764835	-0.08713664233266533	0.15429249824982608	0.2543368425479647	0.40669863506502296	0.42353071509143336	0.3202810595804234	0.3015112237175541	0.18272085706618185	-0.27383826058180166	0.3141361252083813	0.3103555408133322	-0.028181777281327054
Cluster_18	0.01296631046392269	-0.7101230789697015	0.16682084958112067	0.726251878098932	-2.087262063161615	0.09042513469015348	0.001667550434873598	0.060077798996565734	0.07652745641512568	0.35981585081877193	0.5744852613634834	0.07982288029079132	-0.20488142612035348	-0.7834479345542829	-0.5083882242658372	0.1777033492978214	-0.055756632368680316	0.05996188604687103	-0.3326270149309584	0.08362704733379754	0.08767871774953105	0.17559403807753995	0.32926607627686566	0.17940675412401577	-0.08006664027539567	-0.24439832401879932	0.23780502919735722	-0.5188400029484153	-0.25669929704146416	0.10597272890120593	0.3364043888855097	0.3582443305874902	0.1391818378163373	0.2740178102051879	0.5013147101686414	0.2191738878002765	0.5153400497094299	0.09652591167182975	-0.8540604016202178	0.08490936709563461	-0.17723368697816896	0.4003452870914069	0.2590896777450886	0.2599462860717793	0.3609293615955621	0.12325181067057006	0.1547672435857222	0.2703783532852409	0.09925698457403129	0.3349160444057352	0.33491604440573697	0.37470025730189843	0.39197744790902095
Cluster_19	-1.809491070405327	-0.7658623363674443	-0.5398809335974779	-1.555255613883281	-1.3205896986007828	-1.1101703463588337	-1.301712970882678	-1.9681528266769686	-1.0367978664930022	-1.0415402718522082	-2.0097882079520217	-1.2003453846293182	-1.0372936651347175	3.639496576544101	-1.371502059282389	-2.401169870426704	-1.1826470904205872	-0.8355197045411787	-0.4895813631402375	-1.7316194977643682	-2.2912737763537514	-1.0869588802489745	-2.238163472720729	-1.9138277477314305	-0.7249086054460403	-0.6999062181799542	-3.0349826353800884	2.317877322636846	-1.3237353777103258	-1.5067092000304791	-3.459431618637298	-2.5753444151997273	-2.5208347970548175	-2.030608923772713	-3.204752341819961	0.07073935054994504	-2.9308274536744623	-0.66208957900048	3.34968300695169	-0.3154964426122962	-3.459431618637298	-1.942243769864214	-1.5964052706614793	-2.6436589091460014	-3.459431618637298	-3.1937024731714043	-3.459431618637298	-1.78747400388908	-1.6404121774376659	-2.519522640505613	-2.234034444296815	-2.1779176128399773	-3.2988011096208276
