source	target	count
plasma cell	mast cell	13
plasma cell	monocyte	80
plasma cell	neutrophil	31
plasma cell	paneth cell of colon	62
plasma cell	transit amplifying cell of colon	75
transit amplifying cell of colon	B cell	49
transit amplifying cell of colon	CD4-positive, alpha-beta T cell	129
transit amplifying cell of colon	CD8-positive, alpha-beta T cell	119
transit amplifying cell of colon	enterocyte of epithelium of large intestine	292
transit amplifying cell of colon	fibroblast	248
transit amplifying cell of colon	gut endothelial cell	109
transit amplifying cell of colon	intestinal crypt stem cell of large intestine	174
transit amplifying cell of colon	intestinal enteroendocrine cell	113
transit amplifying cell of colon	intestinal tuft cell	89
transit amplifying cell of colon	large intestine goblet cell	252
transit amplifying cell of colon	mast cell	28
transit amplifying cell of colon	monocyte	189
transit amplifying cell of colon	neutrophil	46
transit amplifying cell of colon	paneth cell of colon	148
transit amplifying cell of colon	plasma cell	58
