source	target	count
monocyte	paneth cell of colon	104
monocyte	plasma cell	58
monocyte	transit amplifying cell of colon	113
neutrophil	B cell	23
neutrophil	CD4-positive, alpha-beta T cell	34
neutrophil	CD8-positive, alpha-beta T cell	34
neutrophil	enterocyte of epithelium of large intestine	31
neutrophil	fibroblast	31
neutrophil	gut endothelial cell	18
neutrophil	intestinal crypt stem cell of large intestine	18
neutrophil	intestinal enteroendocrine cell	7
neutrophil	intestinal tuft cell	4
neutrophil	large intestine goblet cell	23
neutrophil	mast cell	11
neutrophil	monocyte	16
neutrophil	paneth cell of colon	16
neutrophil	plasma cell	14
neutrophil	transit amplifying cell of colon	15
paneth cell of colon	B cell	93
paneth cell of colon	CD4-positive, alpha-beta T cell	126
paneth cell of colon	CD8-positive, alpha-beta T cell	109
paneth cell of colon	enterocyte of epithelium of large intestine	167
paneth cell of colon	fibroblast	181
paneth cell of colon	gut endothelial cell	63
paneth cell of colon	intestinal crypt stem cell of large intestine	114
paneth cell of colon	intestinal enteroendocrine cell	39
paneth cell of colon	intestinal tuft cell	52
paneth cell of colon	large intestine goblet cell	140
paneth cell of colon	mast cell	26
paneth cell of colon	monocyte	119
paneth cell of colon	neutrophil	29
paneth cell of colon	plasma cell	42
paneth cell of colon	transit amplifying cell of colon	109
plasma cell	B cell	66
plasma cell	CD4-positive, alpha-beta T cell	85
plasma cell	CD8-positive, alpha-beta T cell	84
plasma cell	enterocyte of epithelium of large intestine	102
plasma cell	fibroblast	100
plasma cell	gut endothelial cell	36
plasma cell	intestinal crypt stem cell of large intestine	63
plasma cell	intestinal enteroendocrine cell	24
plasma cell	intestinal tuft cell	23
plasma cell	large intestine goblet cell	65
plasma cell	mast cell	22
plasma cell	monocyte	59
plasma cell	neutrophil	23
plasma cell	paneth cell of colon	43
plasma cell	transit amplifying cell of colon	55
transit amplifying cell of colon	B cell	99
transit amplifying cell of colon	CD4-positive, alpha-beta T cell	129
transit amplifying cell of colon	CD8-positive, alpha-beta T cell	116
transit amplifying cell of colon	enterocyte of epithelium of large intestine	168
transit amplifying cell of colon	fibroblast	182
transit amplifying cell of colon	gut endothelial cell	65
transit amplifying cell of colon	intestinal crypt stem cell of large intestine	116
transit amplifying cell of colon	intestinal enteroendocrine cell	39
transit amplifying cell of colon	intestinal tuft cell	54
transit amplifying cell of colon	large intestine goblet cell	136
transit amplifying cell of colon	mast cell	29
transit amplifying cell of colon	monocyte	123
transit amplifying cell of colon	neutrophil	27
transit amplifying cell of colon	paneth cell of colon	94
transit amplifying cell of colon	plasma cell	48
