column	ligand	receptor	value	count	source	target	tissue	region
B cell|CD141-positive myeloid dendritic cell	BTLA	TNFRSF14	0.302	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	LTA	TNFRSF14	0.276	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	LTA	TNFRSF1B	0.106	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	WNT16	SFRP4	1.199	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	WNT3	SFRP4	1.185	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	MPZL1	MPZL1	0.346	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	CEACAM1	CD209	0.841	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	COL4A3	ADGRG6	0.82	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	COL4A4	ADGRG6	0.715	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	COL4A5	ADGRG6	0.472	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	ENTPD1	ADORA2B	1.985	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	ENTPD1	ADORA3	1.623	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	APP	CD74	0.388	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	APP	TNFRSF21	0.872	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	BDNF	SORT1	0.632	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	CX3CL1	CX3CR1	1.186	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	C4A	C5AR2	1.58	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	C5	C5AR2	1.62	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	C5	C5AR1	1.157	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	EDN1	EDNRB	0.418	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	FCER2	CR2	0.532	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	LGALS9	HAVCR2	0.994	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	LGALS9	P4HB	0.168	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	HLA-G	LILRB1	0.766	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	HLA-G	LILRB2	2.11	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	CD1D	LILRB2	2.226	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	DLL3	NOTCH2	0.33	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	PGF	NRP1	0.196	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	VEGFB	NRP1	0.308	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	PGF	NRP2	0.294	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	SEMA7A	PLXNC1	0.477	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	HFE	TFRC	0.554	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	BTLA	TNFRSF14	0.303	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	LTA	TNFRSF14	0.277	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	LTA	TNFRSF1A	0.542	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	LTA	TNFRSF1B	0.512	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	MPZL1	MPZL1	0.052	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD1c-positive myeloid dendritic cell	RNASET2	TLR8	1.185	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|T cell	GJA3	GJA3	0.043	13	B cell	T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|T cell	LRRC4B	PTPRS	0.078	13	B cell	T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|T cell	BDNF	NGFR	0.007	13	B cell	T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|T cell	CD80	NGFR	0.105	13	B cell	T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|T cell	NRG4	ERBB4	0.167	13	B cell	T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|T cell	NPB	NPBWR2	0.159	13	B cell	T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|T cell	NPW	NPBWR2	0.195	13	B cell	T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|T cell	CD24	SELP	0.499	13	B cell	T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|T cell	TAX1BP3	ADGRB1	0.076	13	B cell	T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|T cell	LTA	TNFRSF1A	0.114	13	B cell	T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|T cell	BST2	LILRA4	0.118	13	B cell	T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|T cell	CD70	CD27	0.265	13	B cell	T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|T cell	MST1	MST1R	0.059	13	B cell	T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	CEACAM1	CD209	0.097	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	APP	FPR2	1.025	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	APP	TNFRSF21	0.29	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	BDNF	SORT1	0.613	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	C4A	C5AR2	1.147	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	C5	C5AR2	1.187	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	C5	C5AR1	3.493	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	TENM4	ADGRL2	1.464	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	LGALS9	HAVCR2	0.665	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	LGALS9	P4HB	0.193	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	HLA-G	LILRB1	0.133	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	HLA-G	LILRB2	1.749	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	CD1D	LILRB2	1.864	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	DLL3	NOTCH2	0.204	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	DLL3	NOTCH3	1.654	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	PGF	FLT1	0.08	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	VEGFB	FLT1	0.192	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	PGF	NRP1	0.025	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	VEGFB	NRP1	0.137	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	SEMA7A	PLXNC1	0.903	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	TAX1BP3	ADGRB1	0.106	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	HFE	TFRC	0.287	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	LTA	TNFRSF1A	0.646	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	LTA	TNFRSF1B	0.551	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|classical monocyte	RNASET2	TLR8	2.256	25	B cell	classical monocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD4-positive, alpha-beta T cell	CEACAM1	SELE	0.026	15	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD4-positive, alpha-beta T cell	GJA3	GJA3	0.137	15	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD4-positive, alpha-beta T cell	ENTPD1	ADORA2A	0.276	15	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD4-positive, alpha-beta T cell	FCER2	FGFR2	0.453	15	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD4-positive, alpha-beta T cell	LRRC4B	PTPRD	0.059	15	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD4-positive, alpha-beta T cell	PNOC	OPRL1	0.232	15	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD4-positive, alpha-beta T cell	PGF	FLT1	0.003	15	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD4-positive, alpha-beta T cell	VEGFB	FLT1	0.116	15	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD4-positive, alpha-beta T cell	BTLA	TNFRSF14	0.154	15	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD4-positive, alpha-beta T cell	LTA	TNFRSF14	0.128	15	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD4-positive, alpha-beta T cell	LTA	TNFRSF1A	0.111	15	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD4-positive, alpha-beta T cell	LTA	TNFRSF1B	0.112	15	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD4-positive, alpha-beta T cell	BST2	LILRA4	0.116	15	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD4-positive, alpha-beta T cell	CD70	CD27	0.321	15	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD4-positive, alpha-beta T cell	PROC	PROCR	0.029	15	B cell	effector CD4-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD8-positive, alpha-beta T cell	ENTPD1	ADORA2B	0.253	16	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD8-positive, alpha-beta T cell	BDNF	NGFR	0.046	16	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD8-positive, alpha-beta T cell	CD80	NGFR	0.144	16	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD8-positive, alpha-beta T cell	CX3CL1	CX3CR1	0.121	16	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD8-positive, alpha-beta T cell	LGALS9	P4HB	0.142	16	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD8-positive, alpha-beta T cell	NMS	NMUR1	0.024	16	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD8-positive, alpha-beta T cell	NPB	NPBWR2	0.013	16	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD8-positive, alpha-beta T cell	NPW	NPBWR2	0.049	16	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD8-positive, alpha-beta T cell	HFE	TFRC	0.041	16	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD8-positive, alpha-beta T cell	LTA	TNFRSF1A	0.179	16	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD8-positive, alpha-beta T cell	LTA	TNFRSF1B	0.219	16	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD8-positive, alpha-beta T cell	WNT16	SFRP5	0.083	16	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD8-positive, alpha-beta T cell	WNT3	SFRP5	0.068	16	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD8-positive, alpha-beta T cell	BAG6	NCR3	0.13	16	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD8-positive, alpha-beta T cell	MST1	MST1R	0.014	16	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|effector CD8-positive, alpha-beta T cell	PROC	PROCR	0.078	16	B cell	effector CD8-positive, alpha-beta T cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	CADM3	EPB41L1	0.222	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	CEACAM1	SELE	0.733	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	COL4A3	ADGRG6	2.822	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	COL4A4	ADGRG6	2.717	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	COL4A5	ADGRG6	2.473	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	CLSTN1	NRXN3	3.107	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	NLGN4X	NRXN3	3.2	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	NLGN4Y	NRXN3	3.181	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	GJA3	GJA1	3.826	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	GJA3	GJC1	1.495	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	JAM2	JAM3	0.082	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	JAM3	JAM3	0.184	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	L1CAM	L1CAM	0.023	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	CHL1	L1CAM	0.147	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	APP	CD74	0.101	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	APP	PLXNA4	0.288	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	APP	TNFRSF21	0.075	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	ANGPT2	TEK	5.542	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	APLN	APLNR	0.129	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	BDNF	NGFR	0.026	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	CD80	NGFR	0.124	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	BDNF	SORT1	0.664	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	BDNF	NTRK2	0.074	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	EDN1	EDNRA	0.368	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	EDN1	EDNRB	1.201	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	EFNA3	EPHA2	1.772	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	NRG4	ERBB4	0.182	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	FGF17	FGFR3	0.135	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	FGF20	FGFR3	0.13	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	TENM4	ADGRL2	2.168	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	LGALS9	P4HB	0.238	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	LRRC4B	PTPRF	1.776	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	NPPA	NPR1	3.597	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	DLL3	NOTCH3	0.242	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	DLL3	NOTCH4	1.226	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	PGF	FLT1	3.125	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	VEGFB	FLT1	3.237	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	PGF	NRP1	2.359	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	VEGFB	NRP1	2.472	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	PGF	NRP2	2.638	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	CD24	SELP	3.378	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	PPY	NPY1R	0.941	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	TAX1BP3	ADGRB1	0.102	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	BTLA	TNFRSF14	0.137	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	LTA	TNFRSF14	0.111	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	LTA	TNFRSF1A	1.13	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	LTA	TNFRSF1B	0.133	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	WNT16	FRZB	0.278	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	WNT3	FRZB	0.264	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	WNT16	SFRP1	3.083	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	WNT3	SFRP1	3.069	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	MPZL1	MPZL1	0.442	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	MST1	MST1R	0.227	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|endothelial cell	PROC	PROCR	4.184	54	B cell	endothelial cell	lymph_node	HBM673.TNZM.339_reg001
B cell|erythrocyte	LGALS9	P4HB	0.606	3	B cell	erythrocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|erythrocyte	LRRC4B	PTPRF	0.354	3	B cell	erythrocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|erythrocyte	HFE	TFRC	1.982	3	B cell	erythrocyte	lymph_node	HBM673.TNZM.339_reg001
B cell|hematopoietic stem cell	GJA3	GJA1	9.011	16	B cell	hematopoietic stem cell	lymph_node	HBM673.TNZM.339_reg001
B cell|hematopoietic stem cell	APP	CD74	0.465	16	B cell	hematopoietic stem cell	lymph_node	HBM673.TNZM.339_reg001
B cell|hematopoietic stem cell	CLSTN1	NRXN2	15.988	16	B cell	hematopoietic stem cell	lymph_node	HBM673.TNZM.339_reg001
B cell|hematopoietic stem cell	NLGN4X	NRXN2	16.081	16	B cell	hematopoietic stem cell	lymph_node	HBM673.TNZM.339_reg001
B cell|hematopoietic stem cell	NLGN4Y	NRXN2	16.062	16	B cell	hematopoietic stem cell	lymph_node	HBM673.TNZM.339_reg001
B cell|hematopoietic stem cell	C4A	C5AR2	2.92	16	B cell	hematopoietic stem cell	lymph_node	HBM673.TNZM.339_reg001
B cell|hematopoietic stem cell	C5	C5AR2	2.96	16	B cell	hematopoietic stem cell	lymph_node	HBM673.TNZM.339_reg001
B cell|hematopoietic stem cell	LGALS9	HAVCR2	0.396	16	B cell	hematopoietic stem cell	lymph_node	HBM673.TNZM.339_reg001
B cell|hematopoietic stem cell	HLA-G	LILRB1	1.431	16	B cell	hematopoietic stem cell	lymph_node	HBM673.TNZM.339_reg001
B cell|hematopoietic stem cell	DLL3	NOTCH2	0.623	16	B cell	hematopoietic stem cell	lymph_node	HBM673.TNZM.339_reg001
B cell|hematopoietic stem cell	SEMA7A	PLXNC1	1.29	16	B cell	hematopoietic stem cell	lymph_node	HBM673.TNZM.339_reg001
