	I	pval_norm	var_norm	pval_norm_fdr_bh
RPL14	0.025717307552713523	0.0	4.544198643041706e-08	0.0
MYDGF	0.025699708501070236	0.0	4.544198643041706e-08	0.0
BLK	0.025679040141741546	0.0	4.544198643041706e-08	0.0
RPL11	0.02558966259801979	0.0	4.544198643041706e-08	0.0
ARL4C	0.025539056462953343	0.0	4.544198643041706e-08	0.0
LINC03034	0.025469669101041967	0.0	4.544198643041706e-08	0.0
TNFAIP3	0.025405926182061944	0.0	4.544198643041706e-08	0.0
SEL1L3	0.025320119876813995	0.0	4.544198643041706e-08	0.0
LY86	0.025194225520097955	0.0	4.544198643041706e-08	0.0
FYN	0.025182024963962598	0.0	4.544198643041706e-08	0.0
JUND	0.02499266184432457	0.0	4.544198643041706e-08	0.0
PDIA6	0.02496036355017878	0.0	4.544198643041706e-08	0.0
HLA-DMA	0.02492175634550837	0.0	4.544198643041706e-08	0.0
RPS13	0.024885609569569762	0.0	4.544198643041706e-08	0.0
DNAJB1	0.024780703172018245	0.0	4.544198643041706e-08	0.0
SPI1	0.024672654951984407	0.0	4.544198643041706e-08	0.0
LGALS1	0.024657811692898997	0.0	4.544198643041706e-08	0.0
RPS14	0.024647080514837574	0.0	4.544198643041706e-08	0.0
IGLL5	0.024545835235535867	0.0	4.544198643041706e-08	0.0
IFITM1	0.024335078488170764	0.0	4.544198643041706e-08	0.0
XBP1	0.02419003874801878	0.0	4.544198643041706e-08	0.0
JUNB	0.024177558812859372	0.0	4.544198643041706e-08	0.0
TPT1	0.024090979394299862	0.0	4.544198643041706e-08	0.0
SWAP70	0.02393520534202728	0.0	4.544198643041706e-08	0.0
RPS23	0.02377935489618323	0.0	4.544198643041706e-08	0.0
RPL37	0.02363015128753072	0.0	4.544198643041706e-08	0.0
RPS25	0.023625699530242832	0.0	4.544198643041706e-08	0.0
UBE2J1	0.023458247324858624	0.0	4.544198643041706e-08	0.0
MYBL2	0.02342189534789329	0.0	4.544198643041706e-08	0.0
HSP90B1	0.02330851042817167	0.0	4.544198643041706e-08	0.0
RPS21	0.02319565170699972	0.0	4.544198643041706e-08	0.0
CD2	0.02315908555036085	0.0	4.544198643041706e-08	0.0
MARCHF1	0.023151326262059613	0.0	4.544198643041706e-08	0.0
RPL35A	0.02302912032680173	0.0	4.544198643041706e-08	0.0
BASP1	0.02295960241073887	0.0	4.544198643041706e-08	0.0
RPL19	0.022929272665600256	0.0	4.544198643041706e-08	0.0
SSR3	0.022926354124471016	0.0	4.544198643041706e-08	0.0
SSR4	0.022913242958195603	0.0	4.544198643041706e-08	0.0
GRN	0.0228533516369504	0.0	4.544198643041706e-08	0.0
LYN	0.022610863629716507	0.0	4.544198643041706e-08	0.0
RPS28	0.022509013480873377	0.0	4.544198643041706e-08	0.0
IGKC	0.022508594000575713	0.0	4.544198643041706e-08	0.0
PFDN5	0.022476458720324517	0.0	4.544198643041706e-08	0.0
IGHG1	0.022459830048102668	0.0	4.544198643041706e-08	0.0
PPIB	0.022211997786302368	0.0	4.544198643041706e-08	0.0
ITK	0.022147777445787657	0.0	4.544198643041706e-08	0.0
CD7	0.0221294168992622	0.0	4.544198643041706e-08	0.0
CYBB	0.022047119465268553	0.0	4.544198643041706e-08	0.0
FOS	0.02199739997861703	0.0	4.544198643041706e-08	0.0
HVCN1	0.02196314040354535	0.0	4.544198643041706e-08	0.0
SUB1	0.021875491963681205	0.0	4.544198643041706e-08	0.0
