	I	pval_norm	var_norm	pval_norm_fdr_bh
ENSG00000178980	0.06997150019587318	0.0	1.7309493467875537e-08	0.0
ENSG00000247982	0.06997108459711592	0.0	1.7309493467875537e-08	0.0
ENSG00000135916	0.06967751529912705	0.0	1.7309493467875537e-08	0.0
ENSG00000130402	0.06953028632681761	0.0	1.7309493467875537e-08	0.0
ENSG00000197747	0.06952120319765037	0.0	1.7309493467875537e-08	0.0
ENSG00000100219	0.06936495272422766	0.0	1.7309493467875537e-08	0.0
ENSG00000160789	0.06920447088318028	0.0	1.7309493467875537e-08	0.0
ENSG00000111913	0.06883796861268596	0.0	1.7309493467875537e-08	0.0
ENSG00000132465	0.06878344763871373	0.0	1.7309493467875537e-08	0.0
ENSG00000158710	0.06857364212670597	0.0	1.7309493467875537e-08	0.0
ENSG00000213654	0.06853331534973164	0.0	1.7309493467875537e-08	0.0
ENSG00000099958	0.06847695573907309	0.0	1.7309493467875537e-08	0.0
ENSG00000163513	0.06815977701878195	0.0	1.7309493467875537e-08	0.0
ENSG00000024422	0.06786808916430888	0.0	1.7309493467875537e-08	0.0
ENSG00000142541	0.06781228086018129	0.0	1.7309493467875537e-08	0.0
ENSG00000074842	0.06774084268545125	0.0	1.7309493467875537e-08	0.0
ENSG00000026025	0.0676002091849485	0.0	1.7309493467875537e-08	0.0
ENSG00000076706	0.06758726647846809	0.0	1.7309493467875537e-08	0.0
ENSG00000205542	0.06750346732961758	0.0	1.7309493467875537e-08	0.0
ENSG00000140416	0.067427207239279	0.0	1.7309493467875537e-08	0.0
ENSG00000149591	0.06735605453767651	0.0	1.7309493467875537e-08	0.0
ENSG00000125868	0.06688733604840914	0.0	1.7309493467875537e-08	0.0
ENSG00000148180	0.06677481480824325	0.0	1.7309493467875537e-08	0.0
ENSG00000175899	0.06659424331229766	0.0	1.7309493467875537e-08	0.0
ENSG00000101335	0.06659358773355846	0.0	1.7309493467875537e-08	0.0
ENSG00000105974	0.0664582794223068	0.0	1.7309493467875537e-08	0.0
ENSG00000136238	0.06642662707586881	0.0	1.7309493467875537e-08	0.0
ENSG00000196230	0.06623340873608484	0.0	1.7309493467875537e-08	0.0
ENSG00000122786	0.06597096528798928	0.0	1.7309493467875537e-08	0.0
ENSG00000112306	0.06594987169497471	0.0	1.7309493467875537e-08	0.0
ENSG00000105373	0.06575798344927546	0.0	1.7309493467875537e-08	0.0
ENSG00000145592	0.06558464685254467	0.0	1.7309493467875537e-08	0.0
ENSG00000133639	0.0655626465677001	0.0	1.7309493467875537e-08	0.0
ENSG00000161970	0.06554313854841937	0.0	1.7309493467875537e-08	0.0
ENSG00000072110	0.0655188532015854	0.0	1.7309493467875537e-08	0.0
ENSG00000134285	0.06538025258163749	0.0	1.7309493467875537e-08	0.0
ENSG00000107796	0.0653603064967282	0.0	1.7309493467875537e-08	0.0
ENSG00000117519	0.06518891954212867	0.0	1.7309493467875537e-08	0.0
ENSG00000167553	0.06515187194686389	0.0	1.7309493467875537e-08	0.0
ENSG00000197956	0.06506049981880735	0.0	1.7309493467875537e-08	0.0
ENSG00000100234	0.0650391153072312	0.0	1.7309493467875537e-08	0.0
ENSG00000113140	0.06480582853152483	0.0	1.7309493467875537e-08	0.0
ENSG00000167641	0.06476761802652052	0.0	1.7309493467875537e-08	0.0
ENSG00000100243	0.06473044994734387	0.0	1.7309493467875537e-08	0.0
ENSG00000154734	0.064703023335856	0.0	1.7309493467875537e-08	0.0
ENSG00000167460	0.06468674271906223	0.0	1.7309493467875537e-08	0.0
ENSG00000166598	0.06459333546964953	0.0	1.7309493467875537e-08	0.0
ENSG00000008988	0.06449035664077835	0.0	1.7309493467875537e-08	0.0
ENSG00000101439	0.0643628523606808	0.0	1.7309493467875537e-08	0.0
ENSG00000166794	0.06418472727406684	0.0	1.7309493467875537e-08	0.0
ENSG00000185201	0.06390255136075226	0.0	1.7309493467875537e-08	0.0
ENSG00000177697	0.06382424331080998	0.0	1.7309493467875537e-08	0.0
ENSG00000133112	0.06378445811408782	0.0	1.7309493467875537e-08	0.0
ENSG00000163453	0.06372546038794703	0.0	1.7309493467875537e-08	0.0
ENSG00000118705	0.063279487708846	0.0	1.7309493467875537e-08	0.0
ENSG00000144713	0.06314724876963	0.0	1.7309493467875537e-08	0.0
ENSG00000141753	0.06312885662509084	0.0	1.7309493467875537e-08	0.0
ENSG00000164938	0.06308394386512334	0.0	1.7309493467875537e-08	0.0
ENSG00000131477	0.06298604084430608	0.0	1.7309493467875537e-08	0.0
ENSG00000211896	0.06287699461929594	0.0	1.7309493467875537e-08	0.0
ENSG00000110777	0.06271492280219916	0.0	1.7309493467875537e-08	0.0
ENSG00000167526	0.06269226333692687	0.0	1.7309493467875537e-08	0.0
ENSG00000153094	0.06258950383410128	0.0	1.7309493467875537e-08	0.0
ENSG00000019582	0.06246949405632343	0.0	1.7309493467875537e-08	0.0
ENSG00000163191	0.06244616078820544	0.0	1.7309493467875537e-08	0.0
ENSG00000166562	0.062172471046850065	0.0	1.7309493467875537e-08	0.0
ENSG00000149257	0.06206301212237217	0.0	1.7309493467875537e-08	0.0
ENSG00000127920	0.06204027618000227	0.0	1.7309493467875537e-08	0.0
ENSG00000132688	0.06203539117937663	0.0	1.7309493467875537e-08	0.0
ENSG00000139193	0.06189574133303696	0.0	1.7309493467875537e-08	0.0
ENSG00000140682	0.06131721645208977	0.0	1.7309493467875537e-08	0.0
ENSG00000106211	0.0612684374300597	0.0	1.7309493467875537e-08	0.0
ENSG00000116016	0.061221779703651266	0.0	1.7309493467875537e-08	0.0
ENSG00000149564	0.06118640149556467	0.0	1.7309493467875537e-08	0.0
ENSG00000183508	0.061120931803388796	0.0	1.7309493467875537e-08	0.0
ENSG00000125148	0.06105815893969116	0.0	1.7309493467875537e-08	0.0
ENSG00000004468	0.060891378884613136	0.0	1.7309493467875537e-08	0.0
ENSG00000198467	0.06084768854374333	0.0	1.7309493467875537e-08	0.0
ENSG00000160683	0.06082146061865858	0.0	1.7309493467875537e-08	0.0
ENSG00000115165	0.06075269101719922	0.0	1.7309493467875537e-08	0.0
ENSG00000128218	0.060695818689316124	0.0	1.7309493467875537e-08	0.0
ENSG00000117450	0.06064764824332603	0.0	1.7309493467875537e-08	0.0
ENSG00000134531	0.06049706386874802	0.0	1.7309493467875537e-08	0.0
ENSG00000221869	0.060265844629061316	0.0	1.7309493467875537e-08	0.0
ENSG00000101608	0.06021403367805422	0.0	1.7309493467875537e-08	0.0
